flow_bucket,priority_high,priority_medium,priority_low,n_steps,has_auth,has_payment,has_form_input,n_inputs,n_buttons,avg_dom_confidence,qa_edit_ratio,n_assertions,n_waits,code_lines,past_pass_rate,past_runs,mean_duration_s,duration_stddev_s,risk_label
login_flow,0.0,1.0,0.0,8,1.0,0.0,1.0,3,1,0.6328,0.4954,5,3,84,0.964,60,1.609,0.823,LOW
search,1.0,0.0,0.0,5,0.0,0.0,1.0,1,1,0.9499,0.037,3,0,44,0.9546,53,1.115,0.475,LOW
search,0.0,1.0,0.0,1,0.0,0.0,0.0,2,1,0.9194,0.0585,2,0,25,0.9745,63,1.118,0.063,LOW
cart_ops,0.0,0.0,1.0,5,0.0,0.0,1.0,0,3,0.8315,0.1547,4,3,73,0.8505,31,2.512,0.338,MEDIUM
search,1.0,0.0,0.0,4,0.0,0.0,1.0,1,0,0.9389,0.0708,2,0,42,1.0,40,1.543,0.365,LOW
login_flow,1.0,0.0,0.0,10,1.0,0.0,1.0,3,0,0.5332,0.4102,5,1,90,0.7965,39,2.919,0.731,MEDIUM
checkout,1.0,0.0,0.0,14,1.0,1.0,1.0,8,1,0.7469,0.5147,7,4,90,0.6599,25,7.623,1.711,HIGH
cart_ops,0.0,1.0,0.0,6,0.0,0.0,0.0,2,4,0.887,0.2606,5,1,82,0.9263,34,2.874,0.198,LOW
cart_ops,0.0,1.0,0.0,6,1.0,0.0,0.0,2,3,1.0,0.2162,6,1,57,0.8539,14,1.823,0.505,MEDIUM
checkout,1.0,0.0,0.0,9,0.0,1.0,1.0,5,2,0.612,0.3181,7,5,26,0.6216,22,8.132,0.78,HIGH
login_flow,0.0,0.0,1.0,10,1.0,0.0,1.0,2,1,0.7957,0.5079,2,3,100,0.8977,12,3.351,0.577,MEDIUM
login_flow,1.0,0.0,0.0,7,1.0,0.0,1.0,4,1,0.7971,0.3749,6,3,117,0.6058,43,4.189,0.919,HIGH
search,0.0,0.0,1.0,3,0.0,0.0,0.0,0,2,0.8732,0.0299,1,0,44,0.9356,56,0.518,0.278,LOW
search,0.0,1.0,0.0,6,0.0,0.0,1.0,2,1,0.8666,0.0545,2,0,27,1.0,40,0.252,0.272,LOW
checkout,1.0,0.0,0.0,7,1.0,1.0,1.0,6,1,0.5879,0.3568,9,4,52,0.5328,39,6.845,1.947,HIGH
login_flow,1.0,0.0,0.0,9,1.0,0.0,1.0,6,0,0.5634,0.5249,4,5,101,0.7048,41,5.809,1.375,HIGH
checkout,1.0,0.0,0.0,7,0.0,1.0,1.0,8,2,0.6021,0.5408,6,3,116,0.9556,27,7.235,2.256,LOW
search,1.0,0.0,0.0,2,0.0,0.0,0.0,1,1,0.8464,0.0256,2,1,37,0.9216,45,1.689,0.114,LOW
checkout,0.0,0.0,1.0,15,1.0,1.0,1.0,8,4,0.6454,0.747,8,3,137,0.7634,44,8.323,1.737,MEDIUM
search,0.0,1.0,0.0,4,0.0,0.0,0.0,0,2,0.9303,0.04,2,0,44,0.891,74,1.258,0.066,MEDIUM
checkout,1.0,0.0,0.0,17,1.0,1.0,1.0,3,2,0.719,0.2456,5,3,119,0.7547,19,5.068,1.137,MEDIUM
login_flow,1.0,0.0,0.0,10,1.0,0.0,1.0,4,2,0.4791,0.2133,5,4,63,0.8411,50,1.774,1.621,MEDIUM
login_flow,1.0,0.0,0.0,6,1.0,0.0,1.0,3,1,0.6335,0.4918,11,4,98,0.8701,61,3.208,0.55,MEDIUM
cart_ops,0.0,1.0,0.0,4,0.0,0.0,0.0,2,3,0.808,0.1803,7,2,49,0.8649,37,3.106,0.866,MEDIUM
login_flow,1.0,0.0,0.0,11,1.0,0.0,1.0,4,2,0.7946,0.3242,6,1,83,0.8935,75,1.673,0.938,MEDIUM
login_flow,1.0,0.0,0.0,9,1.0,0.0,1.0,1,1,0.6688,0.4669,4,5,67,0.79,22,2.727,0.756,MEDIUM
login_flow,1.0,0.0,0.0,7,1.0,0.0,1.0,4,1,0.6806,0.1182,6,2,93,0.902,4,2.208,0.588,MEDIUM
cart_ops,0.0,1.0,0.0,5,1.0,0.0,1.0,1,3,0.8892,0.12,4,2,55,0.9411,47,2.483,0.119,LOW
search,0.0,0.0,1.0,3,0.0,0.0,1.0,0,1,1.0,0.0052,3,0,46,0.986,43,1.623,0.395,LOW
login_flow,1.0,0.0,0.0,11,1.0,0.0,1.0,3,1,0.6727,0.1044,6,4,82,0.9952,41,4.292,0.916,LOW
login_flow,0.0,0.0,1.0,10,1.0,0.0,1.0,4,0,0.5271,0.5493,0,3,81,0.8455,53,6.557,0.594,MEDIUM
login_flow,0.0,1.0,0.0,9,1.0,0.0,1.0,3,1,0.3987,0.6193,6,5,92,0.8002,50,3.969,1.25,MEDIUM
search,0.0,0.0,1.0,4,1.0,0.0,1.0,0,0,0.9643,0.0,5,0,26,0.9529,40,0.1,0.251,LOW
login_flow,1.0,0.0,0.0,9,1.0,0.0,1.0,3,1,0.6583,0.3271,3,3,72,0.6936,20,4.475,1.006,HIGH
cart_ops,1.0,0.0,0.0,8,0.0,0.0,0.0,0,1,0.7313,0.1254,3,1,79,0.9586,10,3.332,0.289,LOW
search,0.0,0.0,1.0,4,0.0,0.0,1.0,1,1,0.9417,0.0511,2,0,45,0.9668,79,0.992,0.208,LOW
search,1.0,0.0,0.0,3,0.0,0.0,0.0,1,2,0.9783,0.0428,1,0,62,0.9468,51,0.498,0.0,LOW
login_flow,1.0,0.0,0.0,6,1.0,0.0,1.0,2,1,0.6403,0.4917,4,1,135,0.8252,16,4.702,1.575,MEDIUM
checkout,1.0,0.0,0.0,7,1.0,1.0,1.0,3,2,0.5154,0.3441,8,3,131,0.7128,60,8.767,0.459,HIGH
login_flow,1.0,0.0,0.0,9,1.0,0.0,1.0,2,1,0.6953,0.3277,4,5,106,0.7974,18,1.332,1.3,MEDIUM
search,0.0,0.0,1.0,4,0.0,0.0,0.0,0,1,0.9296,0.0544,2,0,74,0.8533,84,1.907,0.408,MEDIUM
checkout,1.0,0.0,0.0,12,1.0,1.0,1.0,9,3,0.4979,0.3465,7,3,174,0.9071,14,5.772,1.007,MEDIUM
cart_ops,0.0,1.0,0.0,4,1.0,0.0,1.0,2,3,0.7186,0.2037,4,0,62,0.7237,21,2.045,0.559,HIGH
search,0.0,1.0,0.0,2,0.0,0.0,0.0,1,1,0.9296,0.1054,3,1,36,0.923,36,0.998,0.144,LOW
login_flow,0.0,0.0,1.0,9,1.0,0.0,1.0,4,1,0.6339,0.2376,8,3,45,0.6847,42,4.386,0.529,HIGH
login_flow,1.0,0.0,0.0,7,1.0,0.0,1.0,2,1,0.8728,0.3159,5,4,96,0.9455,72,2.324,0.956,LOW
checkout,1.0,0.0,0.0,11,1.0,1.0,1.0,6,2,0.4514,0.4618,9,2,72,0.5893,34,3.574,1.263,HIGH
login_flow,0.0,0.0,1.0,7,1.0,0.0,1.0,4,1,0.6539,0.2617,11,3,103,0.8609,46,4.059,0.896,MEDIUM
search,0.0,0.0,1.0,4,0.0,0.0,0.0,0,1,0.9147,0.0797,1,0,34,0.989,48,0.502,0.29,LOW
search,0.0,0.0,1.0,3,0.0,0.0,1.0,1,1,0.9531,0.0,1,0,53,0.9324,45,0.556,0.0,LOW
cart_ops,1.0,0.0,0.0,5,0.0,0.0,0.0,2,3,0.7121,0.0701,5,2,65,0.9119,39,1.152,0.468,MEDIUM
search,0.0,0.0,1.0,4,0.0,0.0,1.0,1,1,0.9293,0.0067,2,0,36,0.8789,44,0.169,0.092,MEDIUM
login_flow,1.0,0.0,0.0,9,1.0,0.0,1.0,3,2,0.6311,0.5523,5,2,58,0.9316,53,3.567,0.496,LOW
checkout,0.0,1.0,0.0,8,0.0,1.0,1.0,5,0,0.6529,0.8033,7,7,73,0.7841,38,7.897,1.332,MEDIUM
search,0.0,1.0,0.0,2,0.0,0.0,0.0,0,2,0.889,0.0614,2,0,41,1.0,55,0.714,0.394,LOW
checkout,1.0,0.0,0.0,9,0.0,1.0,1.0,2,1,0.6928,0.1619,6,6,105,0.8573,40,9.29,0.968,MEDIUM
search,1.0,0.0,0.0,3,0.0,0.0,0.0,1,1,0.9122,0.0933,2,0,40,0.9237,32,1.214,0.382,LOW
cart_ops,0.0,1.0,0.0,7,1.0,0.0,0.0,1,3,0.8183,0.1087,5,1,62,0.965,27,2.237,0.078,LOW
search,0.0,0.0,1.0,5,0.0,0.0,0.0,1,1,0.8333,0.0269,3,0,31,1.0,34,2.189,0.572,LOW
login_flow,1.0,0.0,0.0,6,1.0,0.0,1.0,2,1,0.4933,0.3052,5,3,128,0.8285,58,1.948,0.421,MEDIUM
search,0.0,1.0,0.0,2,0.0,0.0,0.0,0,1,0.9407,0.0,2,0,35,0.9517,55,1.257,0.209,MEDIUM
cart_ops,0.0,0.0,1.0,4,1.0,0.0,0.0,0,4,0.9337,0.0486,3,1,54,1.0,19,2.738,0.097,LOW
search,0.0,0.0,1.0,2,0.0,0.0,1.0,1,1,0.896,0.1098,2,0,19,0.9815,42,1.184,0.277,LOW
login_flow,1.0,0.0,0.0,11,1.0,0.0,1.0,4,0,0.6718,0.2659,3,3,82,0.6739,30,3.077,0.913,HIGH
search,0.0,0.0,1.0,4,1.0,0.0,0.0,1,1,0.9246,0.082,1,0,34,0.9919,53,1.172,0.238,LOW
login_flow,1.0,0.0,0.0,8,1.0,0.0,1.0,3,0,0.7207,0.1886,5,3,124,0.7071,46,2.457,0.531,HIGH
cart_ops,1.0,0.0,0.0,7,1.0,0.0,0.0,1,4,0.8322,0.2494,1,1,38,0.8685,21,1.791,0.467,MEDIUM
search,0.0,1.0,0.0,3,0.0,0.0,1.0,1,1,1.0,0.171,0,0,24,0.9263,60,1.587,0.362,LOW
cart_ops,0.0,0.0,1.0,6,1.0,0.0,1.0,1,3,0.9099,0.1022,5,1,80,0.9173,30,3.03,0.316,HIGH
search,0.0,0.0,1.0,2,0.0,0.0,0.0,0,1,0.8624,0.0692,1,0,60,0.9668,54,1.232,0.298,LOW
search,0.0,1.0,0.0,4,0.0,0.0,1.0,2,1,0.9772,0.0293,3,0,12,1.0,68,0.607,0.218,LOW
search,0.0,0.0,1.0,5,0.0,0.0,0.0,1,2,0.9228,0.0155,1,0,30,0.9293,53,0.888,0.396,LOW
search,1.0,0.0,0.0,4,0.0,0.0,1.0,1,1,0.8784,0.1214,2,0,31,0.949,25,1.86,0.198,LOW
cart_ops,0.0,1.0,0.0,8,0.0,0.0,0.0,0,3,0.9219,0.2963,3,1,70,0.733,41,1.598,0.682,HIGH
search,1.0,0.0,0.0,2,0.0,0.0,1.0,1,1,0.96,0.0,3,0,28,0.9179,60,0.806,0.12,MEDIUM
search,0.0,1.0,0.0,3,0.0,0.0,1.0,1,1,0.8461,0.0932,2,1,27,0.958,73,1.515,0.274,LOW
cart_ops,0.0,0.0,1.0,7,1.0,0.0,1.0,2,2,0.8107,0.2082,6,1,64,0.892,28,2.23,0.188,MEDIUM
search,1.0,0.0,0.0,2,0.0,0.0,1.0,1,2,0.9968,0.0,3,0,53,0.9592,44,1.102,0.398,LOW
checkout,1.0,0.0,0.0,15,1.0,1.0,1.0,6,1,0.7953,0.5427,10,5,119,0.814,13,6.763,1.902,MEDIUM
login_flow,0.0,1.0,0.0,9,1.0,0.0,1.0,5,1,0.4993,0.373,5,3,101,1.0,55,4.451,0.584,LOW
cart_ops,0.0,1.0,0.0,4,0.0,0.0,0.0,1,3,0.7434,0.0,4,0,60,0.9255,28,3.684,0.118,LOW
checkout,1.0,0.0,0.0,12,1.0,1.0,1.0,5,2,0.7503,0.3188,10,4,94,0.897,39,7.49,2.016,MEDIUM
checkout,1.0,0.0,0.0,8,1.0,1.0,1.0,3,0,0.5998,0.6751,8,2,173,0.6802,19,9.14,1.121,HIGH
checkout,1.0,0.0,0.0,10,1.0,1.0,1.0,4,2,0.5395,0.3459,9,4,139,0.7869,30,6.775,1.059,MEDIUM
search,0.0,1.0,0.0,2,0.0,0.0,0.0,1,1,0.9669,0.1229,2,0,18,0.8991,71,0.511,0.3,MEDIUM
cart_ops,1.0,0.0,0.0,4,1.0,0.0,0.0,2,2,0.8023,0.2686,2,1,61,0.7011,44,1.587,0.145,HIGH
checkout,1.0,0.0,0.0,9,0.0,1.0,1.0,4,1,0.3791,0.9215,8,3,78,0.6028,33,6.419,1.964,HIGH
checkout,1.0,0.0,0.0,12,1.0,1.0,1.0,5,0,0.6006,0.3472,7,2,129,0.5936,50,5.906,2.452,HIGH
login_flow,1.0,0.0,0.0,7,1.0,0.0,1.0,3,1,0.5986,0.3464,5,1,59,0.8305,46,5.091,0.812,MEDIUM
checkout,1.0,0.0,0.0,13,0.0,1.0,1.0,7,2,0.6789,0.4434,5,2,186,0.511,24,5.926,0.906,HIGH
cart_ops,0.0,1.0,0.0,5,0.0,0.0,0.0,1,2,0.896,0.0419,3,2,31,0.7834,31,2.008,0.232,MEDIUM
login_flow,1.0,0.0,0.0,9,1.0,0.0,1.0,2,2,0.6056,0.255,1,4,62,0.7845,24,4.243,1.288,MEDIUM
checkout,1.0,0.0,0.0,16,1.0,1.0,1.0,8,2,0.574,0.5648,7,2,164,0.8583,34,5.149,1.844,MEDIUM
search,1.0,0.0,0.0,3,0.0,0.0,1.0,1,1,0.9233,0.0087,1,1,50,1.0,74,1.121,0.168,LOW
search,0.0,0.0,1.0,3,0.0,0.0,0.0,1,1,0.9341,0.0769,2,0,23,0.9887,71,1.254,0.23,LOW
cart_ops,0.0,1.0,0.0,7,0.0,0.0,0.0,1,4,0.8006,0.138,5,0,35,0.79,38,3.084,0.173,MEDIUM
checkout,1.0,0.0,0.0,7,1.0,1.0,1.0,5,2,0.4949,0.5262,7,2,163,0.5166,32,6.215,0.906,HIGH
login_flow,1.0,0.0,0.0,5,1.0,0.0,1.0,4,1,0.5417,0.3001,6,2,104,0.9856,62,4.662,1.334,LOW
search,1.0,0.0,0.0,2,0.0,0.0,1.0,1,1,0.9415,0.0777,2,0,54,0.9969,57,0.43,0.097,LOW
search,0.0,0.0,1.0,2,0.0,0.0,1.0,1,1,0.9079,0.0458,2,0,21,0.9643,66,1.361,0.485,LOW
cart_ops,0.0,1.0,0.0,7,0.0,0.0,0.0,0,4,0.8932,0.3086,3,0,51,0.9375,49,2.289,0.206,LOW
login_flow,1.0,0.0,0.0,12,1.0,0.0,1.0,2,1,0.6391,0.6207,4,3,128,0.8756,32,3.936,0.887,MEDIUM
search,0.0,1.0,0.0,3,0.0,0.0,1.0,1,2,0.9032,0.0305,2,0,46,0.8944,90,1.026,0.172,MEDIUM
login_flow,1.0,0.0,0.0,8,1.0,0.0,1.0,4,0,0.7017,0.4627,1,3,82,0.7567,52,4.067,0.619,MEDIUM
search,1.0,0.0,0.0,3,0.0,0.0,1.0,1,1,0.991,0.084,0,0,55,0.9159,51,0.1,0.321,MEDIUM
search,0.0,0.0,1.0,5,0.0,0.0,0.0,1,1,0.8988,0.1259,4,0,26,0.9766,29,1.355,0.0,LOW
search,1.0,0.0,0.0,3,0.0,0.0,0.0,1,1,0.9177,0.1003,1,0,27,0.9795,57,0.826,0.373,LOW
cart_ops,1.0,0.0,0.0,7,0.0,0.0,0.0,1,4,0.6889,0.1538,3,1,45,0.9915,27,3.093,0.503,LOW
login_flow,0.0,1.0,0.0,10,1.0,0.0,1.0,5,0,0.7677,0.221,5,4,108,0.7432,29,4.877,0.548,HIGH
search,0.0,1.0,0.0,3,0.0,0.0,1.0,1,1,0.844,0.0255,3,0,44,0.9554,74,1.614,0.0,LOW
checkout,1.0,0.0,0.0,13,1.0,1.0,1.0,6,4,0.481,0.2212,7,3,138,0.6768,31,6.994,1.457,HIGH
login_flow,1.0,0.0,0.0,4,1.0,0.0,1.0,3,1,0.6251,0.4582,6,4,70,0.8468,51,2.705,0.495,MEDIUM
login_flow,1.0,0.0,0.0,8,1.0,0.0,1.0,1,1,0.6075,0.3584,3,4,62,0.7158,19,4.021,2.081,HIGH
login_flow,1.0,0.0,0.0,8,1.0,0.0,1.0,3,1,0.4155,0.3978,1,2,100,0.7383,64,4.172,1.169,HIGH
cart_ops,0.0,1.0,0.0,6,0.0,0.0,0.0,2,2,0.9044,0.1954,3,1,55,0.8072,23,2.764,0.497,MEDIUM
checkout,1.0,0.0,0.0,16,1.0,1.0,1.0,3,0,0.5476,0.7542,7,3,125,0.665,18,6.868,1.43,HIGH
cart_ops,0.0,1.0,0.0,6,1.0,0.0,0.0,1,4,0.6956,0.233,4,1,92,0.9255,12,0.984,0.594,LOW
search,1.0,0.0,0.0,3,0.0,0.0,0.0,1,1,0.9434,0.095,2,0,17,0.9675,56,1.416,0.124,LOW
login_flow,1.0,0.0,0.0,9,1.0,0.0,1.0,3,1,0.723,0.2963,3,1,114,0.783,32,4.106,0.0,MEDIUM
checkout,1.0,0.0,0.0,8,0.0,1.0,1.0,4,3,0.3448,0.6479,11,3,113,0.8178,23,6.71,1.843,MEDIUM
search,0.0,0.0,1.0,4,0.0,0.0,1.0,1,1,0.9041,0.0872,2,0,41,0.9849,75,1.314,0.161,LOW
cart_ops,1.0,0.0,0.0,6,0.0,0.0,1.0,0,2,0.7788,0.0303,1,1,45,0.8371,30,0.1,0.418,MEDIUM
login_flow,1.0,0.0,0.0,10,1.0,0.0,1.0,4,1,0.7016,0.5392,0,3,47,0.6617,48,5.78,0.0,HIGH
login_flow,0.0,1.0,0.0,10,1.0,0.0,1.0,3,1,0.7117,0.6125,2,4,64,0.7938,33,2.33,0.612,MEDIUM
cart_ops,0.0,1.0,0.0,6,1.0,0.0,1.0,1,2,0.8275,0.2935,8,0,56,0.8246,31,1.223,0.44,MEDIUM
search,0.0,0.0,1.0,3,0.0,0.0,0.0,1,1,0.9748,0.1408,2,0,32,0.9979,72,1.439,0.367,LOW
checkout,1.0,0.0,0.0,16,0.0,1.0,1.0,5,1,0.6938,0.4117,9,2,150,0.7829,22,7.055,1.778,MEDIUM
login_flow,1.0,0.0,0.0,7,1.0,0.0,1.0,2,1,0.7866,0.2957,6,4,91,0.8456,69,2.202,1.079,MEDIUM
checkout,1.0,0.0,0.0,12,1.0,1.0,1.0,6,2,0.6509,0.3873,10,2,155,0.7682,41,6.051,1.675,MEDIUM
checkout,1.0,0.0,0.0,14,0.0,1.0,1.0,7,4,0.7422,0.7132,9,3,130,0.7388,27,7.544,2.164,HIGH
cart_ops,0.0,1.0,0.0,5,1.0,0.0,0.0,1,4,0.6859,0.1467,4,1,65,0.9433,21,1.458,0.411,LOW
search,0.0,0.0,1.0,2,0.0,0.0,1.0,1,1,1.0,0.0197,3,0,28,0.9572,52,1.265,0.212,LOW
login_flow,1.0,0.0,0.0,8,1.0,0.0,1.0,2,1,0.4174,0.4888,4,4,81,0.8043,27,4.277,0.499,MEDIUM
search,0.0,0.0,1.0,3,0.0,0.0,0.0,1,1,0.8823,0.0307,3,0,41,1.0,48,1.197,0.079,LOW
login_flow,1.0,0.0,0.0,5,1.0,0.0,1.0,2,1,0.5907,0.5914,4,2,78,0.8178,51,3.425,0.652,MEDIUM
search,1.0,0.0,0.0,4,0.0,0.0,0.0,1,1,0.936,0.0,2,0,42,0.9705,37,1.763,0.152,LOW
cart_ops,0.0,1.0,0.0,2,1.0,0.0,0.0,0,4,0.7917,0.0987,3,1,65,0.7986,50,1.393,0.283,MEDIUM
cart_ops,1.0,0.0,0.0,7,0.0,0.0,0.0,1,2,0.8211,0.2391,2,0,56,0.8414,33,1.841,0.035,MEDIUM
checkout,1.0,0.0,0.0,13,0.0,1.0,1.0,5,1,0.5619,0.2482,9,2,125,0.5185,31,3.338,0.986,HIGH
login_flow,0.0,1.0,0.0,8,1.0,0.0,1.0,2,1,0.5966,0.5436,5,3,77,0.6413,44,5.288,1.278,HIGH
cart_ops,0.0,0.0,1.0,5,1.0,0.0,0.0,1,3,0.8339,0.0046,3,2,101,0.7438,38,1.844,0.219,HIGH
cart_ops,0.0,1.0,0.0,7,0.0,0.0,0.0,1,2,0.812,0.1326,5,0,50,1.0,38,1.979,0.26,LOW
checkout,1.0,0.0,0.0,12,1.0,1.0,1.0,4,1,0.6086,0.5631,7,9,145,0.7989,43,7.606,1.505,MEDIUM
search,1.0,0.0,0.0,3,0.0,0.0,0.0,1,0,0.8862,0.0748,1,0,51,1.0,42,0.416,0.171,LOW
search,1.0,0.0,0.0,5,0.0,0.0,0.0,1,1,0.8688,0.0952,2,0,50,0.9052,33,1.074,0.163,MEDIUM
login_flow,1.0,0.0,0.0,7,1.0,0.0,1.0,6,1,0.827,0.1435,6,5,79,0.7654,22,3.64,1.701,MEDIUM
login_flow,1.0,0.0,0.0,6,1.0,0.0,1.0,2,0,0.6607,0.3975,3,3,111,0.9026,93,3.615,1.252,MEDIUM
login_flow,1.0,0.0,0.0,10,1.0,0.0,1.0,3,1,0.6233,0.3247,8,2,100,0.846,67,3.389,0.814,MEDIUM
search,0.0,0.0,1.0,3,0.0,0.0,0.0,2,0,1.0,0.0,2,0,15,0.9573,66,0.333,0.287,LOW
login_flow,1.0,0.0,0.0,7,1.0,0.0,1.0,4,1,0.4966,0.4369,3,4,67,0.6375,53,3.663,1.619,HIGH
search,0.0,0.0,1.0,4,0.0,0.0,1.0,0,0,0.8459,0.0,2,0,37,0.9294,48,1.18,0.257,LOW
